TYPE,TITLE,AUTHOR,TAGS,NATIONALITIES,CONTINENTS,SOURCES
Article,"Nature (London)","Land, Michael ; Horwood, Julia",,GB,EU,Scopus
Article,"Journal of vision (Charlottesville, Va.)","Kandil, Farid I ; Rotter, Alexander ; Lappe, Markus",,DE,EU,Scopus
Article,"Journal of vision (Charlottesville, Va.)","Kandil, Farid I ; Rotter, Alexander ; Lappe, Markus",,DE,EU,Scopus
Article,"Perception (London)","Salvucci, Dario D ; Gray, Rob",,US,NA,Scopus
Article,"Current Opinion in Neurology","Milner & McIntosh",Core,GB,EU,Scopus
Article,"The American journal of occupational therapy","Warren, Mary",,US,NA,Scopus
Article,Neuropsychologia,"Zihl, J",Core,DE,EU,Scopus
Article,"Visual Impairment Research","Zihl, J.",,DE,EU,Scopus
Article,"Journal of neurology, neurosurgery and psychiatry","Pambakian, A L M ; Wooding, D S ; Patel, N ; Morland, A B ; Kennard, C ; Mannan, S K",Core,,,Scopus
Article,"Archives of physical medicine and rehabilitation","Katz, Noomi ; Hartman-Maeir, Adina ; Ring, Haim ; Soroker, Nachum",,,,Scopus
Article,Neuropsychologia,"Girotti, Floriano ; Casazza, Marina ; Musicco, Massimo ; Avanzini, Giuliano",,IT,EU,Scopus
Article,Cortex,"E Làdavas E et al.",,,,Scopus
Article,"The Behavioral and brain sciences","Findlay, John M ; Walker, Robin",,GB,EU,Scopus
Article,"Brain (London, England : 1878)","Husain, Masud ; Mannan, Sabira ; Hodgson, Tim ; Wojciulik, Ewa ; Driver, Jon ; Kennard, Christopher",,GB,EU,Scopus
Article,Neuropsychologia,"Zihl, Josef ; Sämann, Philipp ; Schenk, Thomas ; Schuett, Susanne ; Dauner, Ruth",,DE,EU,Scopus
Book,"Cognitive neuroscience : the biology of the mind ","Gazzaniga, Michael S., author.",,US,NA,VIAF
Book,"Sight unseen : an exploration of conscious and unconscious vision ","Goodale, Melvyn A.",,CA|GB,NA|EU,VIAF
Article,Cortex,"Brenner & Smeets",,,,Scopus
Article,"Trends in Neurosciences","Goodale, Melvyn A ; Milner, A.David",Core,GB,EU,Scopus
Article,"Trends in Neurosciences","Mishkin, Mortimer ; Ungerleider, Leslie G ; Macko, Kathleen A",,US,NA,Scopus
Article,"Current biology","Haffenden, Angela M ; Schiff, Karen C ; Goodale, Melvyn A",Core,CA,NA,Scopus
Article,"Journal of experimental psychology. Human perception and performance","Smeets, Jeroen B. J ; Brenner, Eli",,NL,EU,Scopus
Article,"Neuron (Cambridge, Mass.)","Hartley, Tom ; Maguire, Eleanor A ; Spiers, Hugo J ; Burgess, Neil",,GB,EU,Scopus
Article,"Science (American Association for the Advancement of Science)","Maguire, EA ; Burgess, N ; Donnett, JG ; Frackowiak, RSJ ; Frith, CD ; O'Keefe, J",Core,GB,EU,Scopus
Article,"Proceedings of the National Academy of Sciences - PNAS","Maguire, Eleanor A ; Gadian, David G ; Johnsrude, Ingrid S ; Good, Catriona D ; Ashburner, John ; Frackowiak, Richard S. J ; Frith, Christopher D",,GB,EU,Scopus
Article,"Brain (London, England : 1878)","Maguire, Eleanor A ; Nannery, Rory ; Spiers, Hugo J",,GB,EU,Scopus
Article,"NeuroImage (Orlando, Fla.)","Spiers, Hugo J ; Maguire, Eleanor A",,GB,EU,Scopus
Article,Hippocampus,"Spiers, Hugo J ; Maguire, Eleanor A",,GB,EU,Scopus
Article,"The Journal of neuroscience","Field, David T ; Wilkie, Richard M ; Wann, John P",Core,GB,EU,Scopus
Article,"NeuroImage (Orlando, Fla.)","Spiers, Hugo J ; Maguire, Eleanor A",Core,GB,EU,Scopus
Article,"Journal of experimental psychology. Human perception and performance","Loomis, Jack M ; Da Silva, José A ; Fujita, Naofumi ; Fukusima, Sergio S",Core,BR,SA,Scopus
Article,"Journal of experimental psychology. Human perception and performance","Billington, Jac ; Field, David T ; Wilkie, Richard M ; Wann, John P",,GB,EU,Scopus
Article,"Journal of experimental psychology. Human perception and performance","Raw, Rachael K ; Kountouriotis, Georgios K ; Mon-Williams, Mark ; Wilkie, Richard M",Core,GB,EU,Scopus
Article,"Experimental brain research","Raw, Rachael K ; Wilkie, Richard M ; Culmer, Peter R ; Mon-Williams, Mark",Core,GB,EU,Scopus
Article,"Gait & posture","Harley, Clare ; Wilkie, Richard M ; Wann, John P",Core,GB,EU,Scopus
Book,"The hippocampal and parietal foundations of spatial cognition ","Burgess, N. (Neil)",,GB|US,EU|NA,VIAF
